agegrp,year,sex,n
6,2000,FEM,4625
6,2000,MAL,4626
6,2001,FEM,4757
6,2001,MAL,4782
6,2002,FEM,4669
6,2002,MAL,4676
6,2003,FEM,4368
6,2003,MAL,4486
6,2004,FEM,4299
6,2004,MAL,4481
6,2005,FEM,4417
6,2005,MAL,4544
6,2006,FEM,4491
6,2006,MAL,4635
6,2007,FEM,4898
6,2007,MAL,4907
6,2008,FEM,4876
6,2008,MAL,4994
6,2009,FEM,4943
6,2009,MAL,5072
6,2010,FEM,4796
6,2010,MAL,5000
6,2011,FEM,4740
6,2011,MAL,4889
6,2012,FEM,4464
6,2012,MAL,4642
6,2013,FEM,4159
6,2013,MAL,4331
6,2014,FEM,3785
6,2014,MAL,3906
7,2000,FEM,4770
7,2000,MAL,4949
7,2001,FEM,5053
7,2001,MAL,5082
7,2002,FEM,5044
7,2002,MAL,5164
7,2003,FEM,5033
7,2003,MAL,5067
7,2004,FEM,4827
7,2004,MAL,4921
7,2005,FEM,4732
7,2005,MAL,4702
7,2006,FEM,4483
7,2006,MAL,4523
7,2007,FEM,4477
7,2007,MAL,4626
7,2008,FEM,4329
7,2008,MAL,4492
7,2009,FEM,4360
7,2009,MAL,4464
7,2010,FEM,4554
7,2010,MAL,4649
7,2011,FEM,4561
7,2011,MAL,4765
7,2012,FEM,4662
7,2012,MAL,4777
7,2013,FEM,4640
7,2013,MAL,4744
7,2014,FEM,4554
7,2014,MAL,4598
8,2000,FEM,4813
8,2000,MAL,4921
8,2001,FEM,5046
8,2001,MAL,5219
8,2002,FEM,5141
8,2002,MAL,5180
8,2003,FEM,5139
8,2003,MAL,5190
8,2004,FEM,5086
8,2004,MAL,5085
8,2005,FEM,4905
8,2005,MAL,5015
8,2006,FEM,4865
8,2006,MAL,4932
8,2007,FEM,4937
8,2007,MAL,5095
8,2008,FEM,4860
8,2008,MAL,4950
8,2009,FEM,4633
8,2009,MAL,4828
8,2010,FEM,4591
8,2010,MAL,4637
8,2011,FEM,4435
8,2011,MAL,4444
8,2012,FEM,4214
8,2012,MAL,4301
8,2013,FEM,3974
8,2013,MAL,4113
8,2014,FEM,3816
8,2014,MAL,3953
9,2000,FEM,4216
9,2000,MAL,4145
9,2001,FEM,4703
9,2001,MAL,4621
9,2002,FEM,4757
9,2002,MAL,4736
9,2003,FEM,4647
9,2003,MAL,4632
9,2004,FEM,4568
9,2004,MAL,4616
9,2005,FEM,4521
9,2005,MAL,4594
9,2006,FEM,4456
9,2006,MAL,4591
9,2007,FEM,4610
9,2007,MAL,4616
9,2008,FEM,4638
9,2008,MAL,4623
9,2009,FEM,4579
9,2009,MAL,4617
