"QuestionnaireAllocation","Acronym","DSRound"
310669,"EVN",11
310671,"EVN",11
310672,"EVN",11
310673,"EVN",11
310674,"EVN",11
310675,"EVN",11
310676,"EVN",11
310677,"EVN",11
310678,"EVN",11
310680,"EVN",11
310681,"EVN",11
310682,"EVN",11
310683,"EVN",11
310684,"EVN",11
310685,"EVN",11
310687,"EVN",11
310688,"EVN",11
310689,"EVN",11
310690,"EVN",11
310691,"EVN",11
310694,"EVN",11
310696,"EVN",11
310697,"EVN",11
310699,"EVN",11
310700,"EVN",11
310701,"EVN",11
310702,"EVN",11
310704,"EVN",11
310705,"EVN",11
310706,"EVN",11
310707,"EVN",11
310709,"EVN",11
310710,"EVN",11
310711,"EVN",11
310712,"EVN",11
310713,"EVN",11
310714,"EVN",11
310715,"EVN",11
310716,"EVN",11
310717,"EVN",11
310718,"EVN",11
310720,"EVN",11
310721,"EVN",11
310722,"EVN",11
310723,"EVN",11
310724,"EVN",11
310725,"EVN",11
310726,"EVN",11
310727,"EVN",11
310728,"EVN",11
310729,"EVN",11
310730,"EVN",11
310731,"EVN",11
310732,"EVN",11
310733,"EVN",11
310734,"EVN",11
310736,"EVN",11
310737,"EVN",11
310738,"EVN",11
310741,"EVN",11
310742,"EVN",11
310743,"EVN",11
310744,"EVN",11
310745,"EVN",11
310746,"EVN",11
310750,"EVN",11
310751,"EVN",11
310752,"EVN",11
310754,"EVN",11
310756,"EVN",11
310757,"EVN",11
310758,"EVN",11
310760,"EVN",11
83849,"BMF",101
84161,"BMF",101
84162,"BMF",101
85820,"BMF",101
85821,"BMF",101
85822,"BMF",101
85939,"BMF",101
85940,"BMF",101
85941,"BMF",101
88941,"BMF",101
367357,"HHU2",11
367358,"HHU2",11
367359,"HHU2",11
367376,"HHU2",11
367377,"HHU2",11
367442,"HHU2",11
367448,"HHU2",11
367449,"HHU2",11
367450,"HHU2",11
367451,"HHU2",11
367473,"HHU2",11
367474,"HHU2",11
367475,"HHU2",11
367476,"HHU2",11
367477,"HHU2",11
367490,"HHU2",11
367491,"HHU2",11
367514,"HHU2",11
367515,"HHU2",11
88942,"BMF",101
88943,"BMF",101
92630,"BMF",101
92631,"BMF",101
92632,"BMF",101
92633,"BMF",101
92634,"BMF",101
92636,"BMF",101
92637,"BMF",101
92638,"BMF",101
92640,"BMF",101
92641,"BMF",101
92642,"BMF",101
92643,"BMF",101
92644,"BMF",101
92645,"BMF",101
92646,"BMF",101
93328,"BMF",101
93837,"BMF",101
367304,"BSU",11
367309,"BSU",11
367316,"BSU",11
367319,"BSU",11
367332,"HHU",11
516694,"BMF",103
367521,"HHU2",11
367560,"HHU2",11
367561,"HHU2",11
367562,"HHU2",11
367563,"HHU2",11
367564,"HHU2",11
559588,"WGH",103
